agg_error per_agent_error
165 5.463249743520009 5.190936173843944
166 5.4626733379736265 5.190338863537383
167 5.462097495452274 5.18974290247486
168 5.461522213756011 5.189148264076498
169 5.46094749055181 5.188554922476909
170 5.460373323381913 5.187962852503032
171 5.459799709671827 5.187372029652724
172 5.45922664673798 5.186782430074064
173 5.45865413179505 5.18619403054539
174 5.458082161962963 5.185606808455981
175 5.457510734273598 5.185020741787419
176 5.456939845677196 5.184435809095551
177 5.456369493048478 5.183851989493089
178 5.455799673192499 5.18326926263277
179 5.455230382850231 5.182687608691087
180 5.454661618703915 5.182107008352577
181 5.45409337738214 5.1815274427946045
182 5.453525655464711 5.180948893672685
183 5.452958449487295 5.180371343106265
184 5.452391755945839 5.179794773664993
185 5.451825571300788 5.179219168355434
186 5.4512598919811115 5.178644510608228
187 5.450694714388124 5.1780707842656595
188 5.450130034899138 5.177497973569651
189 5.449565849870935 5.176926063150135
190 5.449002155643064 5.176355038013809
191 5.448438948540989 5.175784883533262
192 5.447876224879064 5.17521558543644
193 5.447313980963384 5.174647129796478
194 5.446752213094461 5.174079503021824
195 5.446190917569796 5.173512691846716
196 5.445630090686289 5.172946683321941
197 5.445069728742551 5.172381464805907
198 5.444509828041069 5.171817023955979
199 5.443950384890269 5.171253348720114
200 5.443391395606473 5.170690427328749
201 5.442832856515733 5.17012824828694
202 5.442274763955576 5.169566800366772
203 5.441717114276643 5.169006072599979
204 5.441159903844239 5.168446054270817
205 5.440603129039794 5.167886734909153
206 5.44004678626223 5.167328104283769
207 5.439490871929255 5.166770152395874
208 5.438935382478573 5.166212869472821
209 5.438380314369017 5.16565624596201
210 5.437825664081617 5.165100272525001
211 5.43727142812059 5.164544940031769
212 5.436717603014268 5.16399023955518
213 5.436164185315961 5.163436162365599
214 5.435611171604768 5.162882699925686
215 5.435058558486315 5.162329843885338
216 5.4345063425934494 5.161777586076791
217 5.433954520586878 5.16122591850986
218 5.433403089155753 5.160674833367338
219 5.432852045018218 5.160124323000517
220 5.432301384921891 5.159574379924846
221 5.431751105644322 5.159024996815738
222 5.431201203993399 5.158476166504466
223 5.430651676807716 5.157927881974213
224 5.430102520956902 5.157380136356219
225 5.429553733341919 5.156832922926052
226 5.4290053108953105 5.15628623509998
227 5.428457250581445 5.155740066431455
228 5.427909549396696 5.155194410607697
229 5.427362204369614 5.154649261446377
230 5.426815212561064 5.15410461289239
231 5.426268571064331 5.1535604590147415
232 5.425722277005211 5.153016794003494
